,upid,assembly_acc,assembly_version,wgs_acc,wgs_version,assembly_name,assembly_level,study_ref,description,total_length,ungapped_length,circular,ncbi_id,scientific_name,common_name,kingdom,num_rfam_regions,num_families,is_reference,is_representative,created,updated,_dlt_load_id,_dlt_id
0,RG000000001,,,,,,,,Potato spindle tuber viroid,4591,,,12892,Potato spindle tuber viroid,,viroids,0,0,1,0,2017-06-06T15:11:02.000Z,2020-04-23T11:46:08.000Z,1731962247.2272599,+RPJfbTHXIOypg
1,RG000000002,,,,,,,,Columnea latent viroid,370,,,12901,Columnea latent viroid,,viroids,0,0,1,0,2017-06-06T15:11:07.000Z,2020-04-23T11:46:08.000Z,1731962247.2272599,Kwqn0j44y4rB2w
2,RG000000003,,,,,,,,Tomato apical stunt viroid-S,360,,,53194,Tomato apical stunt viroid-S,,viroids,0,0,1,0,2017-06-06T15:11:12.000Z,2020-04-23T11:47:10.000Z,1731962247.2272599,jv+FILZFdu3ERQ
3,RG000000004,,,,,,,,Tomato apical stunt viroid,360,,,12885,Tomato apical stunt viroid,,viroids,0,0,1,0,2017-06-06T15:11:17.000Z,2020-04-23T11:46:08.000Z,1731962247.2272599,bl0qiQVO0PiAsg
4,RG000000005,,,,,,,,Cucumber yellows virus,7899,,,32618,Cucumber yellows virus,,viruses,0,0,1,0,2017-06-06T15:11:21.000Z,2020-04-23T11:46:28.000Z,1731962247.2272599,P2pTtO8z42Ahgg
5,RG000000006,,,,,,,,Caprine arthritis encephalitis virus Roccaverano,8418,,,507757,Caprine arthritis encephalitis virus Roccaverano,,viruses,0,0,1,0,2017-06-06T15:11:24.000Z,2020-04-23T11:52:32.000Z,1731962247.2272599,Te5OVJAT+7jOBg
6,RG000000007,GCA_000413255.1,1,,,,,,Physarum polycephalum,189961418,,,5791,Physarum polycephalum,,eukaryota,0,0,1,0,2017-06-06T15:11:28.000Z,2020-04-23T11:44:55.000Z,1731962247.2272599,ajiguhqzwMXtxg
7,RG000000009,GCF_000836845.1,1,,,,,,Arabis mosaic virus small satellite RNA,300,,,196399,Arabis mosaic virus small satellite RNA,,viruses,0,0,1,0,2017-06-06T15:11:43.000Z,2020-04-23T11:49:54.000Z,1731962247.2272599,+YuEJWfFsV0CIQ
8,RG000000010,GCF_000840125.1,1,,,,,,Tobacco ringspot virus satellite RNA,359,,,31504,Tobacco ringspot virus satellite RNA,,viruses,0,0,1,0,2017-06-06T15:11:48.000Z,2020-04-23T11:46:26.000Z,1731962247.2272599,nw2l3LhcJZZOSw
9,RG000000011,GCF_000847605.1,1,,,,,,Equine infectious anemia virus,8359,,,11665,Equine infectious anemia virus,,viruses,0,0,1,0,2017-06-06T15:11:52.000Z,2020-04-23T11:46:01.000Z,1731962247.2272599,zzfR5x+qm+2/ww
